,University,Abbreviation,Department,Course_title,Professor,Prerequisite,Scores,Description,University_Homepage,Course_Homepage,Unitcode,Teaching_period,Unit_level,Credit_rating,Available_as_a_free_choice_unit
0,The University of Manchester,UOM,Mechanical and Aeronautical Engineering Division (L5),Heat Transfer,Hector Iacovides,,Other10%Written exam80%Report10%Other - assessed tutorial work,"Thermal energy exchanges occur throughout the natural environment and engineering systems. The course unit represents the first exposure of the students to Heat Transfer and seeks both to introduce them to the subject, and, as is appropriate for a Level 3 unit, to develop the subject to a relatively advanced level, at least in some areas.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/03333/beng-aerospace-engineering/course-details/MACE30432,MACE30432,Semester 2,Level 3,10,No
1,The University of Manchester,UOM,Alliance Manchester Business School,Interdisciplinary Sustainable Development,Fatemeh Salehi Yazdi,Note: this unit is an open elective unit which aims to provide an introduction to sustainable development. ,"Formative assignments:- Blackboard (BB) Quiz: Sustainable Development: the basics: 10-15 minutes.Summative assignments:Team Project: - Presentation, 30%Individual Project: - 2,000 words report, 70%*","The world’s population is projected to reach 9 billion by 2050. The standard of living around the world has been rising, but socio-economic disparities remain. Individuals, communities, companies and nations all have a role to play in tackling inter-connected global challenges, in order to provide every person in every country with water, food, energy and a home, in an environmentally and economically sustainable way.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00544/bsc-chemistry/course-details/MCEL30022,MCEL30022,Semester 2,Level 3,10,Yes
2,The University of Manchester,UOM,German Studies,Screening the Holocaust,Cathy Gelbin,Pre/Co/Antirequisite units:  Any course unit with a film component,Group Sequence Analysis - 35%Written Examination - 65%  ,"This course unit will examine the filmic treatment of the Nazi atrocities from the late 1940s to the present. Tracing the ongoing debates around appropriate modes of Holocaust representation, we will examine the major political and aesthetic issues at stake in feature film and documentary. In so doing, we will consider film’s potential to convey the personal dimension of the Holocaust together with art’s ethical implications in the face of atrocity. ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/GERM30482,GERM30482,Semester 2,Level 3,20,No
3,The University of Manchester,UOM,Drama,"Theatre, performance and care: studying artful care and careful art",,Available on which programme(s)? ,Written assignment (inc essay)60%Practical skills assessment40%,"In this module students will examine the concept of care aesthetics or ‘careful art/artful care’ and explore how it applies to contemporary performance, applied theatre, health and social care settings and everyday life. Students will be introduced to theories of care ethics and aesthetics, and then examine a range of theatre and performance practices through these lenses. In Part One of the course, this will include one-to-one performance, community dance, and arts in health including applied theatre in care settings (for example in dementia care). This part of the course will be framed as Careful Art, with the second half of the course shifting to Artful Care to examine health and social care practices as craft or art. This will introduce students to the art of nursing (including the role of arts in training of health professionals), care workers as craftworkers and then the art of care in everyday life situations. The final part of the course will explore ‘care aesthetics’ in relation to the Covid crisis – studying examples of micro acts of artistic solidarity and examples of projects of creative caring for neighbours and communities.  ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM33461,DRAM33461,Semester 1,Level 3,20,No
4,The University of Manchester,UOM,Drama,Gender and Sexuality on the 20th Century Stage,Katharine Dorney,"Screen, Culture and Society",Critical Portfolio40%Research essay60%PresentationNA (formative) ,"The course explores ways in which gender and sexuality have been represented, constructed and considered on stage throughout what historian Eric Hobsbawm calls ‘the short 20",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM32021,DRAM32021,Semester 1,Level 3,20,No
5,The University of Manchester,UOM,Drama,From Documentary to Mockumentary,Johannes Sjoberg,				,Essay40%Essay60% ,"This course explores documentary film history and theory. The first block of study focuses on the documentary as a genre, explored through a historical perspective. Students will explore key innovators in the documentary form, such as the Lumiere Brothers, Robert Flaherty, Dziga Vertov and the filmmakers of the British Documentary Movement and Cinéma Vérité. The second block of study focuses on documentary film approaches and contexts that have given new meaning to the genre including reflexive filmmaking, radical voices, television documentaries, interactive documentary, dramatised narrative and mock-documentary. Throughout the course, students will gain an understanding of the key debates and theories that have influenced thinking around the documentary genre. The ethics of representation, claims to ‘truth’, style, narrative construction and reflexivity will be recurring themes as we examine how different documentary approaches continue to shape our perception of reality on screen.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM31011,DRAM31011,Semester 1,Level 3,20,No
6,The University of Manchester,UOM,Drama,Falstaff and Gandalf go to the Movies: Adapting Fantastic Texts to Screen,David Butler,				,"Essay40%Final essay OR practical project (short film, screenplay, storyboard, sound design, costume design etc)60%PresentationNA (formative) ","The fantastic has been described as the dominant mode of fictional expression in the last century but remains one of the most maligned and misunderstood.  Why is fantasy so prevalent in our lives and why are we so suspicious of it?  Why, as Ursula Le Guin asks, are we afraid of dragons?",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM31042,DRAM31042,Semester 2,Level 3,20,No
7,The University of Manchester,UOM,Drama,Screen Acting & Stardom,Victoria Lowe,The Art of Film,Essay60%Individual Research Project40% ,"This course develops an understanding of the screen performer as actor and star. It will approach Screen Acting and Stardom from a range of critical perspectives. It will initially map out the field of star studies and identify the most influential works associated with it, and move on to consider the actor on film and challenges associated with analysing the actor’s screen performance. We will look in depth at a range of case studies, ranging from Marilyn Monroe, Bette Davis, Bruce Lee and Will Smith adopting both a star studies and a performance studies approach as appropriate to the material in hand.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM33301,DRAM33301,Semester 1,Level 3,20,No
8,The University of Manchester,UOM,Drama,Contemporary Theatre-Making,Andrew Smith,				,Group Performance60%Reflective Essay40%Producer’s pitch and supporting documentation. NA (formative) ,Please note that this unit is delivered on-campus only and is therefore not available to remote learners,https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM32001,DRAM32001,Semester 1,Level 3,40,No
9,The University of Manchester,UOM,Alliance Manchester Business School,Advanced Technology Enterprise,Robert Phillips,,Verbal discussion of the topic selected for brief feedbackThere is also time set aside for assignment feedback before the hand in dateDiscretionaryn/aWeek 1-5Week 5Assignment  4000 words100%Week 11Before Exams ,The unit aims to:,https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00544/bsc-chemistry/course-details/MCEL30012,MCEL30012,Semester 2,Level 3,10,Yes
10,The University of Manchester,UOM,Drama,Dissertation,Jennifer Hughes,				,"Dissertation10 -12,000 words, or 6000 - 8000 words with documentation of practice90%Bibliographic essay, to include a discussion of five scholarly works relevant to research topic1500 words10% ","The Dissertation is an independent research project, carried out via desk-based research or with practice, that focuses on an aspect of drama relevant to your degree and in which you have a particular interest. It is an opportunity to conceive, plan, manage and realise an independent research project, under supervision, and it will develop your planning, project management, research and writing skills. The Dissertation is your own work and will express your own views, analyses and enthusiasms, and the end result comprises your unique contribution to Drama as a discipline. Students take part in one-to-one supervisions and complementary research training workshops throughout the academic year. Supervisors help students to define their topic and keep an eye on whether the project is within a student’s ability to complete in the timeframe and permitted word limit. Research training workshops focus on skills in planning and managing research, supervision, research proposals, research methods, research ethics, and writing up research.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00198/ba-drama/course-details/DRAM30990,DRAM30990,Full year,Level 3,40,No
11,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Intensive Greek 2,Jenny Bryan, ,Assessment task Formative or SummativeWeighting within unit (if summative)Weekly homeworksFormative TestSummative40%ExamSummative60% ,This course continues from CAHE20151 Intensive Greek 1.,https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30162,CAHE30162,Semester 2,Level 3,20,Yes
12,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Advanced Greek Language 1,Emma Griffiths,				,Mid-year exam30%Exam70% ,"This course-unit takes you on from CAHE30162 Intensive Greek 2 or A-level Greek to the next level. It involves (a) consolidation of Greek Grammar and syntax, (b) building of an enhanced vocabulary (c) the accurate translation and linguistic comprehension of one set text. (d) practice in unprepared translation of continuous passages from Greek into English and of sentences from English to Greek.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30120,CAHE30120,Full year,Level 3,20,Yes
13,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Intensive Latin 1,Alison Sharrock,"None, but this course may not be taken for credit by candidates who have already achieved a qualification in Latin which is ",Summative test40%Exam60% ,"This course is designed for students with no previous knowledge of Latin. Those who have studied Latin up to and including GCSE, however, may take it as beginners; those who have AS Level in Latin should ",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE20171,CAHE20171,Semester 1,Level 2,20,Yes
14,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Advanced Latin Language 1,John Taylor,Pre-requisites: A-level Latin (or equivalent) or completion (at least 40%) of CAHE30182 Intensive Latin 2. ,Mid-year exam30%Exam70% ,"This course-unit takes you on from CAHE30182 Intensive Latin 2 or A-level Latin to the next level. It involves (a) consolidation of Latin Grammar and syntax, (b) building of an enhanced vocabulary, (c) the accurate translation and linguistic comprehension of one set text, (d) practice in unprepared translation of continuous passages from Latin into English and of sentences from English to Latin.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/CAHE30110,CAHE30110,Full year,Level 3,20,Yes
15,The University of Manchester,UOM,"Classics, Ancient History & Egyptology",Living and Dying in the Ancient World,Ina Berg,,Assessment task Formative or SummativeWeighting within unit (if summative)Portfolio preparationFormative0%PortfolioSummative60%EssayFormative and summative40% ,"Drawing on literary, art historical and archaeological evidence, this course introduces you to key developments, concepts and ideas common to many ancient societies in and around the Mediterranean between the Neolithic and Roman periods. Intentionally designed to be interdisciplinary, you will explore how ancient people lived and died from a variety of angles and thus gain insights into theoretical approaches and philosophical underpinnings of core disciplines in the School of Arts, Languages and Cultures. Topics explored revolve around central issues experienced by mankind, and include the appearance of cities and resulting consequences of urbanisation, the emergence of writing and the social impact of literacy, the nature and importance of public entertainment, how societies cope with death and the legacy of the past. You will explore several central themes in lectures, seminars, and your written submissions, and engage directly with the ancient evidence at the heart of each issue. By doing so, you will gain a broad foundation in the ideas and concepts you will use throughout your degree programme.",https://www.manchester.ac.uk/,https://www.manchester.ac.uk/study/undergraduate/courses/2021/00184/ba-classics/course-details/SALC10602,SALC10602,Semester 2,Level 1,20,Yes
